extra_trees_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-0.80,0.95,0.37,0.67,0.40,0.92,0.33
-0.70,0.94,0.49,0.73,0.49,0.92,0.44
-0.60,0.93,0.59,0.77,0.56,0.92,0.53
-0.50,0.89,0.70,0.80,0.61,0.92,0.60
-0.40,0.86,0.76,0.81,0.62,0.92,0.62
-0.30,0.84,0.83,0.83,0.66,0.92,0.66
-0.20,0.82,0.87,0.84,0.68,0.92,0.68
-0.10,0.78,0.90,0.84,0.69,0.92,0.68
0.00,0.78,0.92,0.85,0.71,0.92,0.70
0.10,0.77,0.94,0.85,0.72,0.92,0.70
0.20,0.76,0.97,0.86,0.74,0.92,0.72
0.30,0.73,0.98,0.85,0.73,0.92,0.70
0.40,0.71,0.99,0.84,0.72,0.92,0.69
0.50,0.66,0.99,0.81,0.68,0.92,0.64
0.60,0.61,1.00,0.79,0.65,0.92,0.59
0.70,0.55,1.00,0.77,0.61,0.92,0.54
0.80,0.51,1.00,0.74,0.57,0.92,0.49
0.90,0.44,1.00,0.70,0.52,0.92,0.42
1.00,0.35,1.00,0.66,0.45,0.92,0.34
1.10,0.27,1.00,0.62,0.39,0.92,0.26
1.20,0.19,1.00,0.57,0.32,0.92,0.18
1.30,0.12,1.00,0.54,0.24,0.92,0.11
1.40,0.09,1.00,0.52,0.21,0.92,0.09
1.50,0.07,1.00,0.51,0.18,0.92,0.07
1.60,0.05,1.00,0.50,0.16,0.92,0.05
1.70,0.01,1.00,0.48,0.07,0.92,0.01
1.80,0.01,1.00,0.48,0.05,0.92,0.01
1.90,0.00,1.00,0.48,0.00,0.92,0.00
2.00,0.00,1.00,0.48,0.00,0.92,0.00
2.10,0.00,1.00,0.48,0.00,0.92,0.00
2.20,0.00,1.00,0.48,0.00,0.92,0.00
2.30,0.00,1.00,0.48,0.00,0.92,0.00
2.40,0.00,1.00,0.48,0.00,0.92,0.00
2.50,0.00,1.00,0.48,0.00,0.92,0.00
2.60,0.00,1.00,0.48,0.00,0.92,0.00
2.70,0.00,1.00,0.48,0.00,0.92,0.00
2.80,0.00,1.00,0.48,0.00,0.92,0.00
2.90,0.00,1.00,0.48,0.00,0.92,0.00

svm_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.49,0.00,0.85,0.00
-2.90,1.00,0.00,0.49,0.00,0.85,0.00
-2.80,1.00,0.00,0.49,0.00,0.85,0.00
-2.70,1.00,0.00,0.49,0.00,0.85,0.00
-2.60,1.00,0.00,0.49,0.00,0.85,0.00
-2.50,1.00,0.00,0.49,0.00,0.85,0.00
-2.40,1.00,0.00,0.49,0.00,0.85,0.00
-2.30,1.00,0.00,0.49,0.00,0.85,0.00
-2.20,1.00,0.00,0.49,0.00,0.85,0.00
-2.10,1.00,0.00,0.49,0.00,0.85,0.00
-2.00,1.00,0.00,0.49,0.00,0.85,0.00
-1.90,1.00,0.00,0.49,0.00,0.85,0.00
-1.80,1.00,0.00,0.49,0.00,0.85,0.00
-1.70,1.00,0.00,0.49,0.00,0.85,0.00
-1.60,1.00,0.00,0.49,0.00,0.85,0.00
-1.50,1.00,0.00,0.49,0.00,0.85,0.00
-1.40,1.00,0.00,0.49,0.00,0.85,0.00
-1.30,1.00,0.00,0.49,0.00,0.85,0.00
-1.20,1.00,0.00,0.49,0.00,0.85,0.00
-1.10,1.00,0.00,0.49,0.00,0.85,0.00
-1.00,1.00,0.03,0.50,0.12,0.85,0.03
-0.90,1.00,0.05,0.51,0.16,0.85,0.05
-0.80,1.00,0.05,0.51,0.16,0.85,0.05
-0.70,1.00,0.08,0.53,0.20,0.85,0.08
-0.60,1.00,0.14,0.56,0.27,0.85,0.13
-0.50,1.00,0.24,0.61,0.37,0.85,0.24
-0.40,0.94,0.35,0.64,0.36,0.85,0.29
-0.30,0.89,0.49,0.68,0.40,0.85,0.37
-0.20,0.86,0.57,0.71,0.44,0.85,0.42
-0.10,0.80,0.62,0.71,0.43,0.85,0.42
0.00,0.77,0.68,0.72,0.45,0.85,0.45
0.10,0.74,0.73,0.74,0.47,0.85,0.47
0.20,0.74,0.84,0.79,0.58,0.85,0.58
0.30,0.66,0.89,0.78,0.57,0.85,0.55
0.40,0.66,0.95,0.81,0.63,0.85,0.61
0.50,0.60,0.95,0.78,0.59,0.85,0.55
0.60,0.54,0.95,0.75,0.54,0.85,0.49
0.70,0.46,1.00,0.74,0.55,0.85,0.46
0.80,0.34,1.00,0.68,0.46,0.85,0.35
0.90,0.26,1.00,0.64,0.39,0.85,0.26
1.00,0.23,1.00,0.62,0.36,0.85,0.23
1.10,0.17,1.00,0.60,0.31,0.85,0.18
1.20,0.11,1.00,0.57,0.25,0.85,0.12
1.30,0.06,1.00,0.54,0.17,0.85,0.06
1.40,0.00,1.00,0.51,0.00,0.85,0.00
1.50,0.00,1.00,0.51,0.00,0.85,0.00
1.60,0.00,1.00,0.51,0.00,0.85,0.00
1.70,0.00,1.00,0.51,0.00,0.85,0.00
1.80,0.00,1.00,0.51,0.00,0.85,0.00
1.90,0.00,1.00,0.51,0.00,0.85,0.00
2.00,0.00,1.00,0.51,0.00,0.85,0.00
2.10,0.00,1.00,0.51,0.00,0.85,0.00
2.20,0.00,1.00,0.51,0.00,0.85,0.00
2.30,0.00,1.00,0.51,0.00,0.85,0.00
2.40,0.00,1.00,0.51,0.00,0.85,0.00
2.50,0.00,1.00,0.51,0.00,0.85,0.00
2.60,0.00,1.00,0.51,0.00,0.85,0.00
2.70,0.00,1.00,0.51,0.00,0.85,0.00
2.80,0.00,1.00,0.51,0.00,0.85,0.00
2.90,0.00,1.00,0.51,0.00,0.85,0.00

