extra_trees_bin_c15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-0.10,0.37,0.97,0.70,0.44,0.78,0.36
0.00,0.37,0.97,0.70,0.44,0.78,0.36
0.10,0.30,0.97,0.67,0.37,0.78,0.28
0.20,0.22,0.97,0.63,0.30,0.78,0.21
0.30,0.22,1.00,0.65,0.37,0.78,0.24
0.40,0.19,1.00,0.63,0.33,0.78,0.20
0.50,0.19,1.00,0.63,0.33,0.78,0.20
0.60,0.07,1.00,0.58,0.21,0.78,0.08
0.70,0.00,1.00,0.55,0.00,0.78,0.00
0.80,0.00,1.00,0.55,0.00,0.78,0.00
0.90,0.00,1.00,0.55,0.00,0.78,0.00
1.00,0.00,1.00,0.55,0.00,0.78,0.00
1.10,0.00,1.00,0.55,0.00,0.78,0.00
1.20,0.00,1.00,0.55,0.00,0.78,0.00
1.30,0.00,1.00,0.55,0.00,0.78,0.00
1.40,0.00,1.00,0.55,0.00,0.78,0.00
1.50,0.00,1.00,0.55,0.00,0.78,0.00
1.60,0.00,1.00,0.55,0.00,0.78,0.00
1.70,0.00,1.00,0.55,0.00,0.78,0.00
1.80,0.00,1.00,0.55,0.00,0.78,0.00
1.90,0.00,1.00,0.55,0.00,0.78,0.00
2.00,0.00,1.00,0.55,0.00,0.78,0.00
2.10,0.00,1.00,0.55,0.00,0.78,0.00
2.20,0.00,1.00,0.55,0.00,0.78,0.00
2.30,0.00,1.00,0.55,0.00,0.78,0.00
2.40,0.00,1.00,0.55,0.00,0.78,0.00
2.50,0.00,1.00,0.55,0.00,0.78,0.00
2.60,0.00,1.00,0.55,0.00,0.78,0.00
2.70,0.00,1.00,0.55,0.00,0.78,0.00
2.80,0.00,1.00,0.55,0.00,0.78,0.00
2.90,0.00,1.00,0.55,0.00,0.78,0.00

