extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-2.60,1.00,0.00,0.50,0.00,0.94,0.00
-2.50,1.00,0.00,0.50,0.00,0.94,0.00
-2.40,1.00,0.00,0.50,0.00,0.94,0.00
-2.30,1.00,0.00,0.50,0.00,0.94,0.00
-2.20,1.00,0.00,0.50,0.00,0.94,0.00
-2.10,1.00,0.00,0.50,0.00,0.94,0.00
-2.00,1.00,0.00,0.50,0.00,0.94,0.00
-1.90,1.00,0.01,0.50,0.05,0.94,0.01
-1.80,1.00,0.01,0.50,0.05,0.94,0.01
-1.70,1.00,0.01,0.50,0.05,0.94,0.01
-1.60,1.00,0.01,0.50,0.05,0.94,0.01
-1.50,1.00,0.02,0.51,0.09,0.94,0.02
-1.40,1.00,0.03,0.51,0.11,0.94,0.03
-1.30,1.00,0.04,0.52,0.14,0.94,0.04
-1.20,0.99,0.05,0.52,0.14,0.94,0.05
-1.10,0.99,0.09,0.54,0.20,0.94,0.09
-1.00,0.99,0.13,0.56,0.23,0.94,0.12
-0.90,0.98,0.19,0.59,0.29,0.94,0.17
-0.80,0.97,0.26,0.62,0.34,0.94,0.24
-0.70,0.96,0.35,0.65,0.39,0.94,0.31
-0.60,0.96,0.44,0.70,0.46,0.94,0.40
-0.50,0.95,0.58,0.76,0.57,0.94,0.53
-0.40,0.94,0.66,0.80,0.63,0.94,0.60
-0.30,0.93,0.77,0.85,0.71,0.94,0.71
-0.20,0.93,0.83,0.88,0.76,0.94,0.76
-0.10,0.89,0.88,0.88,0.76,0.94,0.76
0.00,0.83,0.93,0.88,0.77,0.94,0.77
0.10,0.80,0.96,0.88,0.77,0.94,0.76
0.20,0.73,0.97,0.85,0.72,0.94,0.70
0.30,0.67,0.98,0.83,0.69,0.94,0.65
0.40,0.61,0.98,0.79,0.63,0.94,0.59
0.50,0.52,0.99,0.76,0.58,0.94,0.51
0.60,0.42,0.99,0.71,0.51,0.94,0.42
0.70,0.38,0.99,0.69,0.47,0.94,0.37
0.80,0.30,1.00,0.65,0.42,0.94,0.30
0.90,0.26,1.00,0.63,0.39,0.94,0.26
1.00,0.19,1.00,0.59,0.32,0.94,0.19
1.10,0.15,1.00,0.57,0.28,0.94,0.15
1.20,0.12,1.00,0.56,0.26,0.94,0.12
1.30,0.08,1.00,0.54,0.20,0.94,0.08
1.40,0.04,1.00,0.52,0.15,0.94,0.04
1.50,0.02,1.00,0.51,0.09,0.94,0.02
1.60,0.01,1.00,0.51,0.07,0.94,0.01
1.70,0.01,1.00,0.50,0.05,0.94,0.01
1.80,0.01,1.00,0.50,0.05,0.94,0.01
1.90,0.01,1.00,0.50,0.05,0.94,0.01
2.00,0.01,1.00,0.50,0.05,0.94,0.01
2.10,0.01,1.00,0.50,0.05,0.94,0.01
2.20,0.01,1.00,0.50,0.05,0.94,0.01
2.30,0.00,1.00,0.50,0.00,0.94,0.00
2.40,0.00,1.00,0.50,0.00,0.94,0.00
2.50,0.00,1.00,0.50,0.00,0.94,0.00
2.60,0.00,1.00,0.50,0.00,0.94,0.00
2.70,0.00,1.00,0.50,0.00,0.94,0.00
2.80,0.00,1.00,0.50,0.00,0.94,0.00
2.90,0.00,1.00,0.50,0.00,0.94,0.00

ridge_kfold_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.95,0.00
-2.90,1.00,0.00,0.48,0.00,0.95,0.00
-2.80,1.00,0.00,0.48,0.00,0.95,0.00
-2.70,1.00,0.00,0.48,0.00,0.95,0.00
-2.60,1.00,0.00,0.48,0.00,0.95,0.00
-2.50,1.00,0.00,0.48,0.00,0.95,0.00
-2.40,1.00,0.00,0.48,0.00,0.95,0.00
-2.30,1.00,0.00,0.48,0.00,0.95,0.00
-2.20,1.00,0.00,0.48,0.00,0.95,0.00
-2.10,1.00,0.00,0.48,0.00,0.95,0.00
-2.00,1.00,0.00,0.48,0.00,0.95,0.00
-1.90,1.00,0.00,0.48,0.00,0.95,0.00
-1.80,1.00,0.00,0.48,0.00,0.95,0.00
-1.70,1.00,0.00,0.48,0.00,0.95,0.00
-1.60,1.00,0.00,0.48,0.00,0.95,0.00
-1.50,1.00,0.00,0.48,0.00,0.95,0.00
-1.40,1.00,0.07,0.52,0.19,0.95,0.07
-1.30,1.00,0.07,0.52,0.19,0.95,0.07
-1.20,1.00,0.10,0.53,0.23,0.95,0.10
-1.10,1.00,0.12,0.55,0.25,0.95,0.12
-1.00,1.00,0.15,0.56,0.28,0.95,0.15
-0.90,1.00,0.20,0.58,0.33,0.95,0.19
