extra_trees_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-2.40,1.00,0.01,0.50,0.07,0.92,0.01
-2.30,1.00,0.02,0.51,0.09,0.92,0.02
-2.20,1.00,0.02,0.51,0.09,0.92,0.02
-2.10,0.99,0.02,0.50,0.05,0.92,0.01
-2.00,0.99,0.02,0.50,0.05,0.92,0.01
-1.90,0.99,0.03,0.51,0.08,0.92,0.02
-1.80,0.99,0.03,0.51,0.10,0.92,0.03
-1.70,0.99,0.04,0.52,0.12,0.92,0.04
-1.60,0.99,0.08,0.54,0.19,0.92,0.08
-1.50,0.99,0.10,0.55,0.21,0.92,0.09
-1.40,0.99,0.11,0.55,0.21,0.92,0.10
-1.30,0.99,0.15,0.57,0.26,0.92,0.14
-1.20,0.99,0.17,0.58,0.28,0.92,0.16
-1.10,0.98,0.19,0.59,0.29,0.92,0.17
-1.00,0.98,0.23,0.61,0.33,0.92,0.22
-0.90,0.97,0.26,0.62,0.34,0.92,0.24
-0.80,0.97,0.37,0.67,0.42,0.92,0.33
-0.70,0.96,0.44,0.70,0.47,0.92,0.40
-0.60,0.95,0.51,0.73,0.52,0.92,0.46
-0.50,0.93,0.60,0.76,0.56,0.92,0.53
-0.40,0.93,0.67,0.80,0.62,0.92,0.60
-0.30,0.93,0.74,0.83,0.68,0.92,0.66
-0.20,0.91,0.77,0.84,0.69,0.92,0.68
-0.10,0.90,0.81,0.86,0.71,0.92,0.71
0.00,0.85,0.84,0.85,0.70,0.92,0.70
0.10,0.82,0.89,0.86,0.71,0.92,0.71
0.20,0.79,0.92,0.86,0.72,0.92,0.71
0.30,0.75,0.94,0.85,0.71,0.92,0.69
0.40,0.70,0.96,0.83,0.69,0.92,0.66
0.50,0.67,0.97,0.82,0.67,0.92,0.64
0.60,0.61,0.97,0.79,0.63,0.92,0.59
0.70,0.56,0.98,0.77,0.60,0.92,0.54
0.80,0.49,0.98,0.74,0.54,0.92,0.47
0.90,0.41,0.99,0.70,0.49,0.92,0.40
1.00,0.34,0.99,0.67,0.44,0.92,0.33
1.10,0.24,0.99,0.62,0.35,0.92,0.23
1.20,0.14,0.99,0.57,0.26,0.92,0.14
1.30,0.08,0.99,0.54,0.18,0.92,0.07
1.40,0.04,0.99,0.52,0.12,0.92,0.04
1.50,0.03,0.99,0.51,0.08,0.92,0.02
1.60,0.02,1.00,0.51,0.09,0.92,0.02
1.70,0.02,1.00,0.51,0.09,0.92,0.02
1.80,0.01,1.00,0.50,0.05,0.92,0.01
1.90,0.01,1.00,0.50,0.05,0.92,0.01
2.00,0.00,1.00,0.50,0.00,0.92,0.00
2.10,0.00,1.00,0.50,0.00,0.92,0.00
2.20,0.00,1.00,0.50,0.00,0.92,0.00
2.30,0.00,1.00,0.50,0.00,0.92,0.00
2.40,0.00,1.00,0.50,0.00,0.92,0.00
2.50,0.00,1.00,0.50,0.00,0.92,0.00
2.60,0.00,1.00,0.50,0.00,0.92,0.00
2.70,0.00,1.00,0.50,0.00,0.92,0.00
2.80,0.00,1.00,0.50,0.00,0.92,0.00
2.90,0.00,1.00,0.50,0.00,0.92,0.00

ridge_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.86,0.00
-2.90,1.00,0.00,0.48,0.00,0.86,0.00
-2.80,1.00,0.00,0.48,0.00,0.86,0.00
-2.70,1.00,0.00,0.48,0.00,0.86,0.00
-2.60,1.00,0.00,0.48,0.00,0.86,0.00
-2.50,1.00,0.00,0.48,0.00,0.86,0.00
-2.40,1.00,0.00,0.48,0.00,0.86,0.00
-2.30,1.00,0.00,0.48,0.00,0.86,0.00
-2.20,1.00,0.00,0.48,0.00,0.86,0.00
-2.10,1.00,0.00,0.48,0.00,0.86,0.00
-2.00,1.00,0.00,0.48,0.00,0.86,0.00
-1.90,1.00,0.00,0.48,0.00,0.86,0.00
-1.80,1.00,0.00,0.48,0.00,0.86,0.00
-1.70,0.97,0.03,0.48,-0.01,0.86,-0.00
-1.60,0.97,0.05,0.49,0.06,0.86,0.02
-1.50,0.97,0.10,0.52,0.15,0.86,0.07
-1.40,0.97,0.12,0.53,0.18,0.86,0.09
-1.30,0.97,0.12,0.53,0.18,0.86,0.09
-1.20,0.97,0.15,0.55,0.21,0.86,0.12
-1.10,0.97,0.15,0.55,0.21,0.86,0.12
-1.00,0.95,0.15,0.53,0.16,0.86,0.09
-0.90,0.92,0.17,0.53,0.14,0.86,0.09
-0.80,0.92,0.25,0.57,0.23,0.86,0.16
-0.70,0.92,0.30,0.60,0.28,0.86,0.21
-0.60,0.92,0.42,0.66,0.39,0.86,0.34
-0.50,0.89,0.53,0.70,0.44,0.86,0.41
-0.40,0.89,0.62,0.75,0.53,0.86,0.51
-0.30,0.89,0.65,0.77,0.56,0.86,0.54
-0.20,0.84,0.78,0.81,0.61,0.86,0.61
-0.10,0.81,0.80,0.81,0.61,0.86,0.61
0.00,0.78,0.82,0.81,0.61,0.86,0.61
0.10,0.76,0.88,0.82,0.64,0.86,0.63
0.20,0.73,0.93,0.83,0.67,0.86,0.66
0.30,0.68,0.93,0.81,0.62,0.86,0.61
0.40,0.68,0.95,0.82,0.66,0.86,0.63
0.50,0.54,0.95,0.75,0.54,0.86,0.50
0.60,0.49,0.95,0.73,0.50,0.86,0.44
0.70,0.35,0.97,0.68,0.42,0.86,0.33
0.80,0.32,0.97,0.66,0.40,0.86,0.31
0.90,0.19,1.00,0.61,0.33,0.86,0.20
1.00,0.14,1.00,0.58,0.27,0.86,0.14
1.10,0.05,1.00,0.55,0.17,0.86,0.06
1.20,0.00,1.00,0.52,0.00,0.86,0.00
1.30,0.00,1.00,0.52,0.00,0.86,0.00
1.40,0.00,1.00,0.52,0.00,0.86,0.00
1.50,0.00,1.00,0.52,0.00,0.86,0.00
1.60,0.00,1.00,0.52,0.00,0.86,0.00
1.70,0.00,1.00,0.52,0.00,0.86,0.00
1.80,0.00,1.00,0.52,0.00,0.86,0.00
1.90,0.00,1.00,0.52,0.00,0.86,0.00
2.00,0.00,1.00,0.52,0.00,0.86,0.00
2.10,0.00,1.00,0.52,0.00,0.86,0.00
2.20,0.00,1.00,0.52,0.00,0.86,0.00
2.30,0.00,1.00,0.52,0.00,0.86,0.00
2.40,0.00,1.00,0.52,0.00,0.86,0.00
2.50,0.00,1.00,0.52,0.00,0.86,0.00
2.60,0.00,1.00,0.52,0.00,0.86,0.00
2.70,0.00,1.00,0.52,0.00,0.86,0.00
2.80,0.00,1.00,0.52,0.00,0.86,0.00
2.90,0.00,1.00,0.52,0.00,0.86,0.00

svm_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.95,0.00
-2.90,1.00,0.00,0.50,0.00,0.95,0.00
-2.80,1.00,0.00,0.50,0.00,0.95,0.00
-2.70,1.00,0.00,0.50,0.00,0.95,0.00
-2.60,1.00,0.00,0.50,0.00,0.95,0.00
-2.50,1.00,0.00,0.50,0.00,0.95,0.00
-2.40,1.00,0.00,0.50,0.00,0.95,0.00
-2.30,1.00,0.01,0.50,0.07,0.95,0.01
-2.20,1.00,0.02,0.51,0.10,0.95,0.02
-2.10,0.99,0.03,0.51,0.10,0.95,0.03
-2.00,0.99,0.05,0.52,0.13,0.95,0.04
-1.90,0.99,0.06,0.52,0.15,0.95,0.05
-1.80,0.99,0.08,0.53,0.18,0.95,0.07
-1.70,0.99,0.11,0.55,0.21,0.95,0.10
-1.60,0.98,0.15,0.57,0.24,0.95,0.13
-1.50,0.98,0.21,0.59,0.30,0.95,0.19
-1.40,0.98,0.24,0.61,0.34,0.95,0.23
-1.30,0.98,0.28,0.63,0.38,0.95,0.27
-1.20,0.97,0.32,0.65,0.39,0.95,0.29
-1.10,0.97,0.40,0.68,0.45,0.95,0.37
-1.00,0.97,0.46,0.72,0.50,0.95,0.43
-0.90,0.97,0.52,0.74,0.54,0.95,0.48
-0.80,0.97,0.59,0.78,0.60,0.95,0.56
-0.70,0.96,0.64,0.80,0.63,0.95,0.60
-0.60,0.96,0.67,0.81,0.66,0.95,0.63
-0.50,0.95,0.72,0.83,0.69,0.95,0.67
-0.40,0.94,0.77,0.86,0.72,0.95,0.71
-0.30,0.94,0.80,0.87,0.74,0.95,0.74
-0.20,0.92,0.85,0.88,0.77,0.95,0.77
-0.10,0.90,0.88,0.89,0.78,0.95,0.78
0.00,0.88,0.91,0.89,0.79,0.95,0.79
0.10,0.87,0.92,0.89,0.79,0.95,0.79
0.20,0.85,0.95,0.90,0.80,0.95,0.80
0.30,0.81,0.96,0.89,0.78,0.95,0.77
0.40,0.79,0.97,0.88,0.77,0.95,0.76
0.50,0.77,0.98,0.88,0.77,0.95,0.75
0.60,0.73,0.99,0.86,0.75,0.95,0.72
0.70,0.71,0.99,0.85,0.74,0.95,0.71
0.80,0.67,1.00,0.83,0.71,0.95,0.67
0.90,0.62,1.00,0.81,0.67,0.95,0.62
1.00,0.55,1.00,0.78,0.62,0.95,0.56
1.10,0.48,1.00,0.74,0.56,0.95,0.48
1.20,0.39,1.00,0.70,0.50,0.95,0.39
1.30,0.34,1.00,0.67,0.45,0.95,0.34
1.40,0.27,1.00,0.64,0.40,0.95,0.28
1.50,0.24,1.00,0.62,0.37,0.95,0.24
1.60,0.19,1.00,0.59,0.32,0.95,0.19
1.70,0.15,1.00,0.57,0.28,0.95,0.15
1.80,0.09,1.00,0.55,0.22,0.95,0.09
1.90,0.08,1.00,0.54,0.20,0.95,0.08
2.00,0.06,1.00,0.53,0.18,0.95,0.06
2.10,0.04,1.00,0.52,0.15,0.95,0.04
2.20,0.03,1.00,0.51,0.11,0.95,0.03
2.30,0.02,1.00,0.51,0.09,0.95,0.02
2.40,0.01,1.00,0.50,0.05,0.95,0.01
2.50,0.01,1.00,0.50,0.05,0.95,0.01
2.60,0.00,1.00,0.50,0.00,0.95,0.00
2.70,0.00,1.00,0.50,0.00,0.95,0.00
2.80,0.00,1.00,0.50,0.00,0.95,0.00
2.90,0.00,1.00,0.50,0.00,0.95,0.00

svm_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.92,0.00
-2.90,1.00,0.00,0.48,0.00,0.92,0.00
-2.80,1.00,0.00,0.48,0.00,0.92,0.00
-2.70,1.00,0.00,0.48,0.00,0.92,0.00
-2.60,1.00,0.00,0.48,0.00,0.92,0.00
-2.50,1.00,0.00,0.48,0.00,0.92,0.00
-2.40,1.00,0.00,0.48,0.00,0.92,0.00
-2.30,1.00,0.00,0.48,0.00,0.92,0.00
-2.20,1.00,0.00,0.48,0.00,0.92,0.00
-2.10,1.00,0.00,0.48,0.00,0.92,0.00
-2.00,1.00,0.00,0.48,0.00,0.92,0.00
-1.90,1.00,0.00,0.48,0.00,0.92,0.00
-1.80,1.00,0.00,0.48,0.00,0.92,0.00
-1.70,1.00,0.03,0.49,0.11,0.92,0.02
-1.60,1.00,0.03,0.49,0.11,0.92,0.02
-1.50,1.00,0.03,0.49,0.11,0.92,0.02
-1.40,1.00,0.05,0.51,0.16,0.92,0.05
-1.30,1.00,0.07,0.52,0.19,0.92,0.07
-1.20,1.00,0.07,0.52,0.19,0.92,0.07
-1.10,1.00,0.10,0.53,0.23,0.92,0.10
-1.00,1.00,0.15,0.56,0.28,0.92,0.15
-0.90,1.00,0.25,0.61,0.37,0.92,0.24
-0.80,0.97,0.42,0.69,0.47,0.92,0.39
-0.70,0.97,0.50,0.73,0.53,0.92,0.46
-0.60,0.97,0.53,0.74,0.55,0.92,0.49
-0.50,0.95,0.60,0.77,0.58,0.92,0.54
-0.40,0.95,0.75,0.84,0.71,0.92,0.69
-0.30,0.89,0.80,0.84,0.69,0.92,0.69
-0.20,0.84,0.82,0.83,0.66,0.92,0.66
-0.10,0.81,0.82,0.82,0.64,0.92,0.64
0.00,0.78,0.88,0.83,0.66,0.92,0.66
0.10,0.76,0.90,0.83,0.67,0.92,0.66
0.20,0.70,0.93,0.82,0.65,0.92,0.63
0.30,0.68,0.95,0.82,0.66,0.92,0.63
0.40,0.59,0.97,0.79,0.62,0.92,0.58
0.50,0.51,0.97,0.75,0.56,0.92,0.50
0.60,0.43,0.97,0.71,0.49,0.92,0.42
0.70,0.30,1.00,0.66,0.42,0.92,0.31
0.80,0.30,1.00,0.66,0.42,0.92,0.31
0.90,0.19,1.00,0.61,0.33,0.92,0.20
1.00,0.19,1.00,0.61,0.33,0.92,0.20
1.10,0.14,1.00,0.58,0.27,0.92,0.14
1.20,0.08,1.00,0.56,0.21,0.92,0.08
1.30,0.03,1.00,0.53,0.12,0.92,0.03
1.40,0.03,1.00,0.53,0.12,0.92,0.03
1.50,0.03,1.00,0.53,0.12,0.92,0.03
1.60,0.03,1.00,0.53,0.12,0.92,0.03
1.70,0.03,1.00,0.53,0.12,0.92,0.03
1.80,0.00,1.00,0.52,0.00,0.92,0.00
1.90,0.00,1.00,0.52,0.00,0.92,0.00
2.00,0.00,1.00,0.52,0.00,0.92,0.00
2.10,0.00,1.00,0.52,0.00,0.92,0.00
2.20,0.00,1.00,0.52,0.00,0.92,0.00
2.30,0.00,1.00,0.52,0.00,0.92,0.00
2.40,0.00,1.00,0.52,0.00,0.92,0.00
2.50,0.00,1.00,0.52,0.00,0.92,0.00
2.60,0.00,1.00,0.52,0.00,0.92,0.00
2.70,0.00,1.00,0.52,0.00,0.92,0.00
2.80,0.00,1.00,0.52,0.00,0.92,0.00
2.90,0.00,1.00,0.52,0.00,0.92,0.00

svm_dpc_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.50,0.00
-2.90,1.00,0.00,0.50,0.00,0.50,0.00
-2.80,1.00,0.00,0.50,0.00,0.50,0.00
-2.70,1.00,0.00,0.50,0.00,0.50,0.00
-2.60,1.00,0.00,0.50,0.00,0.50,0.00
-2.50,1.00,0.00,0.50,0.00,0.50,0.00
-2.40,1.00,0.00,0.50,0.00,0.50,0.00
-2.30,1.00,0.00,0.50,0.00,0.50,0.00
-2.20,1.00,0.00,0.50,0.00,0.50,0.00
-2.10,1.00,0.00,0.50,0.00,0.50,0.00
-2.00,1.00,0.00,0.50,0.00,0.50,0.00
-1.90,1.00,0.00,0.50,0.00,0.50,0.00
-1.80,1.00,0.00,0.50,0.00,0.50,0.00
-1.70,1.00,0.00,0.50,0.00,0.50,0.00
-1.60,1.00,0.00,0.50,0.00,0.50,0.00
-1.50,1.00,0.00,0.50,0.00,0.50,0.00
-1.40,1.00,0.00,0.50,0.00,0.50,0.00
-1.30,1.00,0.00,0.50,0.00,0.50,0.00
-1.20,1.00,0.00,0.50,0.00,0.50,0.00
-1.10,1.00,0.00,0.50,0.00,0.50,0.00
-1.00,0.00,1.00,0.50,0.00,0.50,0.00
-0.90,0.00,1.00,0.50,0.00,0.50,0.00
-0.80,0.00,1.00,0.50,0.00,0.50,0.00
-0.70,0.00,1.00,0.50,0.00,0.50,0.00
-0.60,0.00,1.00,0.50,0.00,0.50,0.00
-0.50,0.00,1.00,0.50,0.00,0.50,0.00
-0.40,0.00,1.00,0.50,0.00,0.50,0.00
-0.30,0.00,1.00,0.50,0.00,0.50,0.00
-0.20,0.00,1.00,0.50,0.00,0.50,0.00
-0.10,0.00,1.00,0.50,0.00,0.50,0.00
0.00,0.00,1.00,0.50,0.00,0.50,0.00
0.10,0.00,1.00,0.50,0.00,0.50,0.00
0.20,0.00,1.00,0.50,0.00,0.50,0.00
0.30,0.00,1.00,0.50,0.00,0.50,0.00
0.40,0.00,1.00,0.50,0.00,0.50,0.00
0.50,0.00,1.00,0.50,0.00,0.50,0.00
0.60,0.00,1.00,0.50,0.00,0.50,0.00
0.70,0.00,1.00,0.50,0.00,0.50,0.00
0.80,0.00,1.00,0.50,0.00,0.50,0.00
0.90,0.00,1.00,0.50,0.00,0.50,0.00
1.00,0.00,1.00,0.50,0.00,0.50,0.00
1.10,0.00,1.00,0.50,0.00,0.50,0.00
1.20,0.00,1.00,0.50,0.00,0.50,0.00
1.30,0.00,1.00,0.50,0.00,0.50,0.00
1.40,0.00,1.00,0.50,0.00,0.50,0.00
1.50,0.00,1.00,0.50,0.00,0.50,0.00
1.60,0.00,1.00,0.50,0.00,0.50,0.00
1.70,0.00,1.00,0.50,0.00,0.50,0.00
1.80,0.00,1.00,0.50,0.00,0.50,0.00
1.90,0.00,1.00,0.50,0.00,0.50,0.00
2.00,0.00,1.00,0.50,0.00,0.50,0.00
2.10,0.00,1.00,0.50,0.00,0.50,0.00
2.20,0.00,1.00,0.50,0.00,0.50,0.00
2.30,0.00,1.00,0.50,0.00,0.50,0.00
2.40,0.00,1.00,0.50,0.00,0.50,0.00
2.50,0.00,1.00,0.50,0.00,0.50,0.00
2.60,0.00,1.00,0.50,0.00,0.50,0.00
2.70,0.00,1.00,0.50,0.00,0.50,0.00
2.80,0.00,1.00,0.50,0.00,0.50,0.00
2.90,0.00,1.00,0.50,0.00,0.50,0.00

svm_kfold_dpc_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.50,0.00
-2.90,1.00,0.00,0.48,0.00,0.50,0.00
-2.80,1.00,0.00,0.48,0.00,0.50,0.00
-2.70,1.00,0.00,0.48,0.00,0.50,0.00
