extra_trees_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-0.10,0.69,0.46,0.58,0.16,0.69,0.16
0.00,0.62,0.64,0.63,0.26,0.69,0.26
0.10,0.53,0.80,0.66,0.34,0.69,0.33
0.20,0.46,0.85,0.66,0.34,0.69,0.32
0.30,0.38,0.91,0.64,0.34,0.69,0.29
0.40,0.27,0.95,0.60,0.29,0.69,0.21
0.50,0.20,0.98,0.58,0.28,0.69,0.18
0.60,0.12,0.99,0.55,0.23,0.69,0.11
0.70,0.04,1.00,0.51,0.15,0.69,0.04
0.80,0.02,1.00,0.50,0.09,0.69,0.02
0.90,0.00,1.00,0.49,0.00,0.69,0.00
1.00,0.00,1.00,0.49,0.00,0.69,0.00
1.10,0.00,1.00,0.49,0.00,0.69,0.00
1.20,0.00,1.00,0.49,0.00,0.69,0.00
1.30,0.00,1.00,0.49,0.00,0.69,0.00
1.40,0.00,1.00,0.49,0.00,0.69,0.00
1.50,0.00,1.00,0.49,0.00,0.69,0.00
1.60,0.00,1.00,0.49,0.00,0.69,0.00
1.70,0.00,1.00,0.49,0.00,0.69,0.00
1.80,0.00,1.00,0.49,0.00,0.69,0.00
1.90,0.00,1.00,0.49,0.00,0.69,0.00
2.00,0.00,1.00,0.49,0.00,0.69,0.00
2.10,0.00,1.00,0.49,0.00,0.69,0.00
2.20,0.00,1.00,0.49,0.00,0.69,0.00
2.30,0.00,1.00,0.49,0.00,0.69,0.00
2.40,0.00,1.00,0.49,0.00,0.69,0.00
2.50,0.00,1.00,0.49,0.00,0.69,0.00
2.60,0.00,1.00,0.49,0.00,0.69,0.00
2.70,0.00,1.00,0.49,0.00,0.69,0.00
2.80,0.00,1.00,0.49,0.00,0.69,0.00
2.90,0.00,1.00,0.49,0.00,0.69,0.00

ridge_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.65,0.00
-2.90,1.00,0.00,0.47,0.00,0.65,0.00
-2.80,1.00,0.00,0.47,0.00,0.65,0.00
-2.70,1.00,0.00,0.47,0.00,0.65,0.00
-2.60,1.00,0.00,0.47,0.00,0.65,0.00
-2.50,1.00,0.00,0.47,0.00,0.65,0.00
-2.40,1.00,0.00,0.47,0.00,0.65,0.00
-2.30,1.00,0.00,0.47,0.00,0.65,0.00
-2.20,1.00,0.00,0.47,0.00,0.65,0.00
-2.10,1.00,0.00,0.47,0.00,0.65,0.00
-2.00,1.00,0.00,0.47,0.00,0.65,0.00
-1.90,1.00,0.00,0.47,0.00,0.65,0.00
-1.80,1.00,0.00,0.47,0.00,0.65,0.00
-1.70,1.00,0.00,0.47,0.00,0.65,0.00
-1.60,1.00,0.00,0.47,0.00,0.65,0.00
-1.50,1.00,0.00,0.47,0.00,0.65,0.00
-1.40,1.00,0.00,0.47,0.00,0.65,0.00
-1.30,1.00,0.00,0.47,0.00,0.65,0.00
-1.20,1.00,0.00,0.47,0.00,0.65,0.00
-1.10,1.00,0.00,0.47,0.00,0.65,0.00
-1.00,1.00,0.00,0.47,0.00,0.65,0.00
-0.90,1.00,0.00,0.47,0.00,0.65,0.00
-0.80,1.00,0.00,0.47,0.00,0.65,0.00
-0.70,1.00,0.00,0.47,0.00,0.65,0.00
-0.60,1.00,0.00,0.47,0.00,0.65,0.00
-0.50,0.97,0.00,0.45,-0.12,0.65,-0.03
-0.40,0.94,0.03,0.45,-0.08,0.65,-0.03
-0.30,0.91,0.10,0.48,0.02,0.65,0.01
-0.20,0.83,0.15,0.47,-0.03,0.65,-0.02
-0.10,0.77,0.38,0.56,0.16,0.65,0.14
0.00,0.63,0.55,0.59,0.18,0.65,0.18
0.10,0.57,0.80,0.69,0.38,0.65,0.38
0.20,0.49,0.85,0.68,0.36,0.65,0.34
0.30,0.29,0.90,0.61,0.24,0.65,0.19
0.40,0.20,0.95,0.60,0.23,0.65,0.16
0.50,0.11,0.95,0.56,0.12,0.65,0.07
0.60,0.03,1.00,0.55,0.12,0.65,0.03
0.70,0.03,1.00,0.55,0.12,0.65,0.03
0.80,0.00,1.00,0.53,0.00,0.65,0.00
0.90,0.00,1.00,0.53,0.00,0.65,0.00
1.00,0.00,1.00,0.53,0.00,0.65,0.00
1.10,0.00,1.00,0.53,0.00,0.65,0.00
1.20,0.00,1.00,0.53,0.00,0.65,0.00
1.30,0.00,1.00,0.53,0.00,0.65,0.00
1.40,0.00,1.00,0.53,0.00,0.65,0.00
1.50,0.00,1.00,0.53,0.00,0.65,0.00
1.60,0.00,1.00,0.53,0.00,0.65,0.00
1.70,0.00,1.00,0.53,0.00,0.65,0.00
1.80,0.00,1.00,0.53,0.00,0.65,0.00
1.90,0.00,1.00,0.53,0.00,0.65,0.00
2.00,0.00,1.00,0.53,0.00,0.65,0.00
2.10,0.00,1.00,0.53,0.00,0.65,0.00
2.20,0.00,1.00,0.53,0.00,0.65,0.00
2.30,0.00,1.00,0.53,0.00,0.65,0.00
2.40,0.00,1.00,0.53,0.00,0.65,0.00
2.50,0.00,1.00,0.53,0.00,0.65,0.00
2.60,0.00,1.00,0.53,0.00,0.65,0.00
2.70,0.00,1.00,0.53,0.00,0.65,0.00
2.80,0.00,1.00,0.53,0.00,0.65,0.00
2.90,0.00,1.00,0.53,0.00,0.65,0.00

svm_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.51,0.00,0.70,0.00
-2.90,1.00,0.00,0.51,0.00,0.70,0.00
-2.80,1.00,0.00,0.51,0.00,0.70,0.00
-2.70,1.00,0.00,0.51,0.00,0.70,0.00
-2.60,1.00,0.00,0.51,0.00,0.70,0.00
-2.50,1.00,0.00,0.51,0.00,0.70,0.00
-2.40,1.00,0.00,0.51,0.00,0.70,0.00
-2.30,1.00,0.00,0.51,0.00,0.70,0.00
-2.20,1.00,0.00,0.51,0.00,0.70,0.00
-2.10,1.00,0.00,0.51,0.00,0.70,0.00
-2.00,1.00,0.00,0.51,0.00,0.70,0.00
-1.90,1.00,0.00,0.51,0.00,0.70,0.00
-1.80,1.00,0.00,0.51,0.00,0.70,0.00
-1.70,1.00,0.00,0.51,0.00,0.70,0.00
-1.60,1.00,0.00,0.51,0.00,0.70,0.00
-1.50,1.00,0.01,0.51,0.05,0.70,0.01
-1.40,0.99,0.01,0.51,0.00,0.70,0.00
-1.30,0.99,0.02,0.51,0.02,0.70,0.01
-1.20,0.99,0.02,0.51,0.04,0.70,0.01
-1.10,0.98,0.04,0.51,0.05,0.70,0.02
-1.00,0.93,0.11,0.53,0.07,0.70,0.04
-0.90,0.88,0.17,0.53,0.07,0.70,0.05
-0.80,0.86,0.23,0.55,0.12,0.70,0.09
-0.70,0.83,0.31,0.57,0.16,0.70,0.14
-0.60,0.80,0.35,0.58,0.17,0.70,0.15
-0.50,0.77,0.42,0.60,0.20,0.70,0.19
-0.40,0.75,0.49,0.62,0.25,0.70,0.24
-0.30,0.72,0.55,0.64,0.28,0.70,0.27
-0.20,0.69,0.62,0.65,0.31,0.70,0.31
-0.10,0.66,0.66,0.66,0.33,0.70,0.33
0.00,0.63,0.70,0.66,0.32,0.70,0.32
0.10,0.61,0.75,0.68,0.36,0.70,0.36
0.20,0.58,0.78,0.68,0.36,0.70,0.36
0.30,0.55,0.81,0.68,0.38,0.70,0.36
0.40,0.49,0.83,0.66,0.34,0.70,0.32
0.50,0.47,0.85,0.66,0.35,0.70,0.32
0.60,0.44,0.90,0.67,0.38,0.70,0.34
0.70,0.38,0.92,0.65,0.36,0.70,0.30
0.80,0.32,0.95,0.63,0.34,0.70,0.26
0.90,0.28,0.95,0.61,0.31,0.70,0.23
1.00,0.18,0.99,0.58,0.29,0.70,0.17
1.10,0.08,1.00,0.53,0.20,0.70,0.08
1.20,0.03,1.00,0.51,0.13,0.70,0.03
1.30,0.03,1.00,0.51,0.11,0.70,0.03
1.40,0.00,1.00,0.49,0.00,0.70,0.00
1.50,0.00,1.00,0.49,0.00,0.70,0.00
1.60,0.00,1.00,0.49,0.00,0.70,0.00
1.70,0.00,1.00,0.49,0.00,0.70,0.00
1.80,0.00,1.00,0.49,0.00,0.70,0.00
1.90,0.00,1.00,0.49,0.00,0.70,0.00
2.00,0.00,1.00,0.49,0.00,0.70,0.00
2.10,0.00,1.00,0.49,0.00,0.70,0.00
2.20,0.00,1.00,0.49,0.00,0.70,0.00
2.30,0.00,1.00,0.49,0.00,0.70,0.00
2.40,0.00,1.00,0.49,0.00,0.70,0.00
2.50,0.00,1.00,0.49,0.00,0.70,0.00
2.60,0.00,1.00,0.49,0.00,0.70,0.00
2.70,0.00,1.00,0.49,0.00,0.70,0.00
2.80,0.00,1.00,0.49,0.00,0.70,0.00
2.90,0.00,1.00,0.49,0.00,0.70,0.00

svm_kfold_bin_c10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.68,0.00
-2.90,1.00,0.00,0.47,0.00,0.68,0.00
-2.80,1.00,0.00,0.47,0.00,0.68,0.00
-2.70,1.00,0.00,0.47,0.00,0.68,0.00
-2.60,1.00,0.00,0.47,0.00,0.68,0.00
-2.50,1.00,0.00,0.47,0.00,0.68,0.00
-2.40,1.00,0.00,0.47,0.00,0.68,0.00
-2.30,1.00,0.00,0.47,0.00,0.68,0.00
-2.20,1.00,0.00,0.47,0.00,0.68,0.00
-2.10,1.00,0.00,0.47,0.00,0.68,0.00
-2.00,1.00,0.00,0.47,0.00,0.68,0.00
-1.90,1.00,0.00,0.47,0.00,0.68,0.00
-1.80,1.00,0.00,0.47,0.00,0.68,0.00
-1.70,1.00,0.00,0.47,0.00,0.68,0.00
-1.60,1.00,0.00,0.47,0.00,0.68,0.00
-1.50,1.00,0.00,0.47,0.00,0.68,0.00
-1.40,1.00,0.00,0.47,0.00,0.68,0.00
-1.30,1.00,0.00,0.47,0.00,0.68,0.00
-1.20,1.00,0.00,0.47,0.00,0.68,0.00
-1.10,1.00,0.00,0.47,0.00,0.68,0.00
-1.00,0.94,0.00,0.44,-0.18,0.68,-0.05
-0.90,0.91,0.10,0.48,0.02,0.68,0.01
-0.80,0.91,0.12,0.49,0.06,0.68,0.04
-0.70,0.91,0.12,0.49,0.06,0.68,0.04
-0.60,0.91,0.15,0.51,0.10,0.68,0.06
-0.50,0.86,0.17,0.49,0.04,0.68,0.03
-0.40,0.86,0.20,0.51,0.08,0.68,0.05
-0.30,0.77,0.33,0.53,0.11,0.68,0.09
-0.20,0.69,0.45,0.56,0.14,0.68,0.13
-0.10,0.66,0.60,0.63,0.26,0.68,0.26
0.00,0.66,0.62,0.64,0.28,0.68,0.28
0.10,0.66,0.75,0.71,0.41,0.68,0.41
0.20,0.54,0.82,0.69,0.39,0.68,0.37
0.30,0.54,0.85,0.71,0.42,0.68,0.40
0.40,0.54,0.88,0.72,0.45,0.68,0.43
0.50,0.46,0.90,0.69,0.40,0.68,0.37
0.60,0.43,0.93,0.69,0.41,0.68,0.36
0.70,0.43,0.95,0.71,0.45,0.68,0.39
0.80,0.31,0.95,0.65,0.35,0.68,0.28
0.90,0.17,0.97,0.60,0.25,0.68,0.15
1.00,0.11,1.00,0.59,0.25,0.68,0.12
1.10,0.03,1.00,0.55,0.12,0.68,0.03
1.20,0.03,1.00,0.55,0.12,0.68,0.03
1.30,0.00,1.00,0.53,0.00,0.68,0.00
1.40,0.00,1.00,0.53,0.00,0.68,0.00
1.50,0.00,1.00,0.53,0.00,0.68,0.00
1.60,0.00,1.00,0.53,0.00,0.68,0.00
1.70,0.00,1.00,0.53,0.00,0.68,0.00
1.80,0.00,1.00,0.53,0.00,0.68,0.00
1.90,0.00,1.00,0.53,0.00,0.68,0.00
2.00,0.00,1.00,0.53,0.00,0.68,0.00
2.10,0.00,1.00,0.53,0.00,0.68,0.00
2.20,0.00,1.00,0.53,0.00,0.68,0.00
2.30,0.00,1.00,0.53,0.00,0.68,0.00
2.40,0.00,1.00,0.53,0.00,0.68,0.00
2.50,0.00,1.00,0.53,0.00,0.68,0.00
2.60,0.00,1.00,0.53,0.00,0.68,0.00
2.70,0.00,1.00,0.53,0.00,0.68,0.00
2.80,0.00,1.00,0.53,0.00,0.68,0.00
2.90,0.00,1.00,0.53,0.00,0.68,0.00

